+--------+-----------+--------------------------------------------+---------------------------+-----------------------------------------------------------------------------+--------------------------+
| Domain | Method    | URI                                        | Name                      | Action                                                                      | Middleware               |
+--------+-----------+--------------------------------------------+---------------------------+-----------------------------------------------------------------------------+--------------------------+
|        | GET|HEAD  | /                                          |                           | App\Http\Controllers\Front\BerandaController@index                          | web                      |
|        | GET|HEAD  | admin                                      | admin.index               | App\Http\Controllers\Back\BackController@index                              | web,auth,auth.basic,auth |
|        | POST      | admin                                      | admin.store               | App\Http\Controllers\Back\BackController@store                              | web,auth,auth.basic,auth |
|        | GET|HEAD  | admin/create                               | admin.create              | App\Http\Controllers\Back\BackController@create                             | web,auth,auth.basic,auth |
|        | DELETE    | admin/{admin}                              | admin.destroy             | App\Http\Controllers\Back\BackController@destroy                            | web,auth,auth.basic,auth |
|        | PUT|PATCH | admin/{admin}                              | admin.update              | App\Http\Controllers\Back\BackController@update                             | web,auth,auth.basic,auth |
|        | GET|HEAD  | admin/{admin}                              | admin.show                | App\Http\Controllers\Back\BackController@show                               | web,auth,auth.basic,auth |
|        | GET|HEAD  | admin/{admin}/edit                         | admin.edit                | App\Http\Controllers\Back\BackController@edit                               | web,auth,auth.basic,auth |
|        | GET|HEAD  | api/user                                   |                           | Closure                                                                     | api,auth:api             |
|        | POST      | beranda                                    | beranda.store             | App\Http\Controllers\Front\BerandaController@store                          | web                      |
|        | GET|HEAD  | beranda                                    | beranda.index             | App\Http\Controllers\Front\BerandaController@index                          | web                      |
|        | GET|HEAD  | beranda/create                             | beranda.create            | App\Http\Controllers\Front\BerandaController@create                         | web                      |
|        | PUT|PATCH | beranda/{beranda}                          | beranda.update            | App\Http\Controllers\Front\BerandaController@update                         | web                      |
|        | DELETE    | beranda/{beranda}                          | beranda.destroy           | App\Http\Controllers\Front\BerandaController@destroy                        | web                      |
|        | GET|HEAD  | beranda/{beranda}                          | beranda.show              | App\Http\Controllers\Front\BerandaController@show                           | web                      |
|        | GET|HEAD  | beranda/{beranda}/edit                     | beranda.edit              | App\Http\Controllers\Front\BerandaController@edit                           | web                      |
|        | GET|HEAD  | berita                                     | berita.index              | App\Http\Controllers\Front\BeritaController@index                           | web                      |
|        | POST      | berita                                     | berita.store              | App\Http\Controllers\Front\BeritaController@store                           | web                      |
|        | GET|HEAD  | berita/create                              | berita.create             | App\Http\Controllers\Front\BeritaController@create                          | web                      |
|        | DELETE    | berita/{beritum}                           | berita.destroy            | App\Http\Controllers\Front\BeritaController@destroy                         | web                      |
|        | PUT|PATCH | berita/{beritum}                           | berita.update             | App\Http\Controllers\Front\BeritaController@update                          | web                      |
|        | GET|HEAD  | berita/{beritum}                           | berita.show               | App\Http\Controllers\Front\BeritaController@show                            | web                      |
|        | GET|HEAD  | berita/{beritum}/edit                      | berita.edit               | App\Http\Controllers\Front\BeritaController@edit                            | web                      |
|        | GET|HEAD  | faq                                        | faq.index                 | App\Http\Controllers\Front\FAQController@index                              | web                      |
|        | POST      | faq                                        | faq.store                 | App\Http\Controllers\Front\FAQController@store                              | web                      |
|        | GET|HEAD  | faq/create                                 | faq.create                | App\Http\Controllers\Front\FAQController@create                             | web                      |
|        | PUT|PATCH | faq/{faq}                                  | faq.update                | App\Http\Controllers\Front\FAQController@update                             | web                      |
|        | DELETE    | faq/{faq}                                  | faq.destroy               | App\Http\Controllers\Front\FAQController@destroy                            | web                      |
|        | GET|HEAD  | faq/{faq}                                  | faq.show                  | App\Http\Controllers\Front\FAQController@show                               | web                      |
|        | GET|HEAD  | faq/{faq}/edit                             | faq.edit                  | App\Http\Controllers\Front\FAQController@edit                               | web                      |
|        | GET|HEAD  | forum-fasilitator                          | forum-fasilitator.index   | App\Http\Controllers\Forum\ForumFasilitatorController@index                 | web                      |
|        | POST      | forum-fasilitator                          | forum-fasilitator.store   | App\Http\Controllers\Forum\ForumFasilitatorController@store                 | web                      |
|        | GET|HEAD  | forum-fasilitator/create                   | forum-fasilitator.create  | App\Http\Controllers\Forum\ForumFasilitatorController@create                | web                      |
|        | DELETE    | forum-fasilitator/{forum_fasilitator}      | forum-fasilitator.destroy | App\Http\Controllers\Forum\ForumFasilitatorController@destroy               | web                      |
|        | GET|HEAD  | forum-fasilitator/{forum_fasilitator}      | forum-fasilitator.show    | App\Http\Controllers\Forum\ForumFasilitatorController@show                  | web                      |
|        | PUT|PATCH | forum-fasilitator/{forum_fasilitator}      | forum-fasilitator.update  | App\Http\Controllers\Forum\ForumFasilitatorController@update                | web                      |
|        | GET|HEAD  | forum-fasilitator/{forum_fasilitator}/edit | forum-fasilitator.edit    | App\Http\Controllers\Forum\ForumFasilitatorController@edit                  | web                      |
|        | POST      | galeri                                     | galeri.store              | App\Http\Controllers\Front\GaleriController@store                           | web                      |
|        | GET|HEAD  | galeri                                     | galeri.index              | App\Http\Controllers\Front\GaleriController@index                           | web                      |
|        | GET|HEAD  | galeri/create                              | galeri.create             | App\Http\Controllers\Front\GaleriController@create                          | web                      |
|        | DELETE    | galeri/{galeri}                            | galeri.destroy            | App\Http\Controllers\Front\GaleriController@destroy                         | web                      |
